Script started on Tue Dec 08 18:57:19 2015
sh-3.00$ ./a6 input.bin
          Input Value (x)      Output Value (e^x)   Output Value (e^-x)

          0.000000000          1.000000000          1.000000000
          0.100000000          1.105170918          0.904837418
          0.200000000          1.221402758          0.818730753
          0.300000000          1.349858808          0.740818221
          0.400000000          1.491824698          0.670320046
          0.500000000          1.648721271          0.606530660
          0.600000000          1.822118800          0.548811636
          0.700000000          2.013752707          0.496585304
          0.800000000          2.225540928          0.449328964
          0.900000000          2.459603111          0.406569660
          1.000000000          2.718281828          0.367879441
          1.100000000          3.004166024          0.332871084
          1.200000000          3.320116923          0.301194212
          1.300000000          3.669296668          0.272531793
          1.400000000          4.055199967          0.246596964
          1.500000000          4.481689070          0.223130160
          1.600000000          4.953032424          0.201896518
          1.700000000          5.473947392          0.182683524
          1.800000000          6.049647464          0.165298888
          1.900000000          6.685894442          0.149568619
          2.000000000          7.389056099          0.135335283
          2.100000000          8.166169913          0.122456428
          2.200000000          9.025013499          0.110803158
          2.300000000          9.974182455          0.100258844
          2.400000000         11.023176381          0.090717953
          2.500000000         12.182493961          0.082084999
          2.600000000         13.463738035          0.074273578
          2.700000000         14.879731725          0.067205513
          2.800000000         16.444646771          0.060810063
          2.900000000         18.174145369          0.055023220
          3.000000000         20.085536923          0.049787068
          3.100000000         22.197951281          0.045049202
          3.200000000         24.532530197          0.040762204
          3.300000000         27.112638921          0.036883167
          3.400000000         29.964100047          0.033373270
          3.500000000         33.115451959          0.030197383
          3.600000000         36.598234444          0.027323722
          3.700000000         40.447304360          0.024723526
          3.800000000         44.701184493          0.022370772
          3.900000000         49.402449106          0.020241911
          4.000000000         54.598150033          0.018315639
          4.100000000         60.340287597          0.016572675
          4.200000000         66.686331041          0.014995577
          4.300000000         73.699793700          0.013568559
          4.400000000         81.450868665          0.012277340
          4.500000000         90.017131301          0.011108997
          4.600000000         99.484315642          0.010051836
          4.700000000        109.947172452          0.009095277
          4.800000000        121.510417519          0.008229747
          4.900000000        134.289779685          0.007446583
          5.000000000        148.413159103          0.006737947
          5.100000000        164.021907300          0.006096747
          5.200000000        181.272241875          0.005516564
          5.300000000        200.336809975          0.004991594
          5.400000000        221.406416204          0.004516581
          5.500000000        244.691932264          0.004086771
          5.600000000        270.426407426          0.003697864
          5.700000000        298.867400967          0.003345965
          5.800000000        330.299559910          0.003027555
          5.900000000        365.037467865          0.002739445
          6.000000000        403.428793493          0.002478752
          6.100000000        445.857770083          0.002242868
          6.200000000        492.749041093          0.002029431
          6.300000000        544.571910126          0.001836305
          6.400000000        601.845037872          0.001661557
          6.500000000        665.141633044          0.001503439
          6.600000000        735.095189242          0.001360368
          6.700000000        812.405825168          0.001230912
          6.800000000        897.847291650          0.001113775
          6.900000000        992.274715605          0.001007785
          7.000000000       1096.633158428          0.000911882
          7.100000000       1211.967074493          0.000825105
          7.200000000       1339.430764394          0.000746586
          7.300000000       1480.299927585          0.000675539
          7.400000000       1635.984429996          0.000611253
          7.500000000       1808.042414456          0.000553084
          7.600000000       1998.195895104          0.000500451
          7.700000000       2208.347991887          0.000452827
          7.800000000       2440.601977624          0.000409735
          7.900000000       2697.282328268          0.000370744
          8.000000000       2980.957987042          0.000335463
          8.100000000       3294.468075284          0.000303539
          8.200000000       3640.950307332          0.000274654
          8.300000000       4023.872393822          0.000248517
          8.400000000       4447.066747700          0.000224867
          8.500000000       4914.768840299          0.000203468
          8.600000000       5431.659591363          0.000184106
          8.700000000       6002.912217261          0.000166586
          8.800000000       6634.244006278          0.000150733
          8.900000000       7331.973539156          0.000136389
          9.000000000       8103.083927575          0.000123410
          9.100000000       8955.292703482          0.000111666
          9.200000000       9897.129058744          0.000101039
          9.300000000      10938.019208165          0.000091424
          9.400000000      12088.380730217          0.000082724
          9.500000000      13359.726829662          0.000074852
          9.600000000      14764.781565577          0.000067729
          9.700000000      16317.607198015          0.000061283
          9.800000000      18033.744927828          0.000055452
          9.900000000      19930.370438230          0.000050175
         10.000000000      22026.465794806          0.000045400
sh-3.00$ exit
exit

script done on Tue Dec 08 18:57:32 2015
